architecture,training_resolution,evaluation_resolution,seed,protocol,k_norm,target_normalized_residual_energy_mean,target_normalized_residual_energy_std,target_normalized_residual_energy_se,n_test_samples,record_type,band,k_norm_left,k_norm_right,target_normalized_residual_energy,curve_total_target_normalized_residual_energy,fraction_of_residual_profile_total,n_bins_total,denominator
Corrected standard FNO,128,256,1,fixed-val128,0.1875,4.36065535858e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.201388888889,4.16237456455e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.215277777778,3.4365907937e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.229166666667,2.84293642733e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.243055555556,1.57745301608e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.256944444444,1.55219540391e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.270833333333,1.24655874019e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.284722222222,9.78119245173e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.298611111111,8.95070501742e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.3125,6.22619521332e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.326388888889,6.72153527523e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.340277777778,6.41696068386e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.354166666667,5.66186505089e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.368055555556,3.24464807501e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.381944444444,5.01493957572e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.395833333333,4.54682854118e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.409722222222,4.10765242229e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.423611111111,3.81853876074e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.4375,2.24593878392e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.451388888889,3.53129583999e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.465277777778,3.46629869249e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.479166666667,3.31508932186e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.493055555556,1.89560661487e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.506944444444,3.25790768689e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.520833333333,3.22843768088e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.534722222222,3.19195043839e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.548611111111,3.15540330681e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.5625,1.80293523649e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.576388888889,3.1740175344e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.590277777778,3.18148023955e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.604166666667,3.16463251683e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.618055555556,1.73833602803e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.631944444444,3.20005189324e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.645833333333,3.19947842691e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.659722222222,3.18816428369e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.673611111111,3.16587103362e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.6875,1.72022855777e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.701388888889,3.17254959355e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.715277777778,3.17042998444e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.729166666667,3.14363629572e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.743055555556,1.67241929195e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.756944444444,3.16691795326e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.770833333333,3.16899229537e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.784722222222,3.19842356895e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.798611111111,3.14652747123e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.8125,1.72730008869e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.826388888889,3.1843098599e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.840277777778,3.30877836884e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.854166666667,3.5632109126e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.868055555556,2.17869872562e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.881944444444,3.78230533091e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.895833333333,3.89341046362e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.909722222222,5.52356763119e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.923611111111,1.06666538082e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.9375,7.75820965678e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.951388888889,8.6162374972e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.965277777778,9.99018677281e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.979166666667,1.58471540676e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.993055555556,3.74007817653e-06,,,1000,radial_profile_bin,,,,,,,,
